facility_latitude,facility_longitude,TYPE
36.3180217,127.4269479,police
36.3225203,127.4140397,police
36.3127923,127.3984402,police
36.3060962,127.4019072,police
36.3341042,127.421213,police
36.3390919,127.412524,police
36.3519015,127.4369479,police
36.3308244,127.4341417,police
36.3467265,127.4492489,police
36.3098657,127.4488064,police
36.3306605,127.4742907,police
36.2822433,127.4674958,police
36.3102496,127.3739411,police
36.333215,127.3810129,police
36.2991596,127.3289964,police
36.3089524,127.3523252,police
36.4469908,127.4127851,police
36.3583427,127.4188732,police
36.3633755,127.4422244,police
36.3772419,127.4213833,police
36.3489122,127.3779787,police
36.3526574,127.3683133,police
36.3601593,127.3668824,police
36.3599547,127.3946686,police
36.3581,127.3507036,police
36.3853872,127.3781009,police
36.3758376,127.3230673,police
36.3898372,127.3485073,police
36.3432457,127.316091,police
36.4399981,127.3837348,police
36.3027071,127.3207432,police
